Arrogance	Sí	Arrogancia.
Brilliance	Sí	Brillantez.
Compliance	Sí	Cumplimiento.
Defiance	Sí	Desafío.
Eleganse	No	Ortografía incorrecta (elegance).
Fragrance	Sí	Fragancia.
Guidance	Sí	Guía.
Hindrance	Sí	Obstáculo.
Inheritance	Sí	Herencia.
Joyance	No	Arcaico/Inusual.
Kinetics	Sí	Cinética.
Librance	No	Inventada.
Maintenance	Sí	Mantenimiento.
Nuisance	Sí	Molestia.
Observance	Sí	Observancia.
Performance	Sí	Desempeño.
Quittance	Sí	Finiquito.
Radiance	Sí	Resplandor.
Significance	Sí	Importancia.
Tolerance	Sí	Tolerancia.
Utterance	Sí	Expresión.
Vigilance	Sí	Vigilancia.
Warrantance	No	Incorrecto (warranty).
X-rayance	No	Inventada.
Yieldance	No	Incorrecto (yield).
Zestance	No	Inventada.
Abundance	Sí	Abundancia.
Balance	Sí	Equilibrio.
Circumstance	Sí	Circunstancia.
Distance	Sí	Distancia.
Entrance	Sí	Entrada.
Finance	Sí	Finanzas.
Grievance	Sí	Queja.
Instance	Sí	Instancia.
Penance	Sí	Penitencia.
Reliance	Sí	Confianza.
Severance	Sí	Indemnización.
Variance	Sí	Variación.
Alliance	Sí	Alianza.
Appearance	Sí	Apariencia.
Assistance	Sí	Asistencia.
Attendance	Sí	Asistencia.
Deliverance	Sí	Liberación.
Endurance	Sí	Resistencia.
Insurance	Sí	Seguro.
Ignorance	Sí	Ignorancia.
Importance	Sí	Importancia.
Reassurance	Sí	Tranquilidad.
Resistance	Sí	Resistencia.
Vengeance	Sí	Venganza.
Allowance	Sí	Subsidio.
Annoyance	Sí	Molestia.
Conveyance	Sí	Transporte.
Disappearance	Sí	Desaparición.
Disturbance	Sí	Perturbación.
Dominance	Sí	Dominio.
Exuberance	Sí	Exuberancia.
Forbearance	Sí	Tolerancia.
Irrelevance	Sí	Irrelevancia.
Perseverance	Sí	Perseverancia.
Predominance	Sí	Predominio.
Protuberance	Sí	Protuberancia.
Reluctance	Sí	Reticencia.
Resemblance	Sí	Semejanza.
Sustenance	Sí	Sustento.
Transmittance	Sí	Transmitancia.
Acknowledgeance	No	Incorrecto (acknowledgment).
Believeance	No	Inventada.
Changeance	No	Inventada.
Decideance	No	Inventada.
Expectance	Sí	Expectativa.
Followance	No	Inventada.
Growance	No	Inventada.
Helpance	No	Inventada.
Improveance	No	Inventada.
Judgeance	No	Inventada.
Knowance	No	Inventada.
Liveance	No	Inventada.
Moveance	No	Inventada.
Noticeance	No	Inventada.
Offerance	No	Inventada.
Payance	No	Inventada.
Quickance	No	Inventada.
Receiveance	No	Inventada.
Showance	No	Inventada.
Tryance	No	Inventada.
Useance	No	Inventada.
Visitance	No	Inventada.
Waitance	No	Inventada.
X-ance	No	Inventada.
Yieldance	No	Inventada.
Zoneance	No	Inventada.
Absence	Sí	Ausencia.
Benevolence	Sí	Benevolencia.
Consequence	Sí	Consecuencia.
Difference	Sí	Diferencia.
Evidence	Sí	Evidencia.
Fluence	No	Incorrecto (fluency).
Impotence	Sí	Impotencia.
Innocence	Sí	Inocencia.
Intelligence	Sí	Inteligencia.
Magnificence	Sí	Magnificencia.
Negligence	Sí	Negligencia.
Obedience	Sí	Obediencia.
Presence	Sí	Presencia.
Reference	Sí	Referencia.
Silence	Sí	Silencio.
Violence	Sí	Violencia.
Adherence	Sí	Adherencia.
Coherence	Sí	Coherencia.
Conference	Sí	Conferencia.
Confidence	Sí	Confianza.
Correspondence	Sí	Correspondencia.
Dependence	Sí	Dependencia.
Existence	Sí	Existencia.
Independence	Sí	Independencia.
Inference	Sí	Inferencia.
Persistence	Sí	Persistencia.
Preference	Sí	Preferencia.
Prominence	Sí	Prominencia.
Residence	Sí	Residencia.
Sequence	Sí	Secuencia.
Subsequence	Sí	Subsecuencia.
Transcendence	Sí	Trascendencia.
Affluence	Sí	Afluencia.
Ambience	Sí	Ambiente.
Audience	Sí	Audiencia.
Cadence	Sí	Cadencia.
Complacence	Sí	Complacencia.
Condolence	Sí	Condolencia.
Confluence	Sí	Confluencia.
Convenience	Sí	Conveniencia.
Diligence	Sí	Diligencia.
Eloquence	Sí	Elocuencia.
Essence	Sí	Esencia.
Influence	Sí	Influencia.
Insistence	Sí	Insistencia.
Occurrence	Sí	Ocurrencia.
Patience	Sí	Paciencia.
Recurrence	Sí	Recurrencia.
Sentence	Sí	Sentencia.
Subsistence	Sí	Subsistencia.
Vehemence	Sí	Vehemencia.
Adolescence	Sí	Adolescencia.
Coalescence	Sí	Coalescencia.
Convalescence	Sí	Convalecencia.
Effervescence	Sí	Efervescencia.
Evanescence	Sí	Evanescencia.
Incandescence	Sí	Incandescencia.
Luminescence	Sí	Luminiscencia.
Obsolescence	Sí	Obsolescencia.
Opalescence	Sí	Opalescencia.
Phosphorescence	Sí	Fosforescencia.
Quiescence	Sí	Quiescencia.
Reminiscence	Sí	Reminiscencia.
Resilience	Sí	Resiliencia.
Translucence	Sí	Translucidez.
Turgescence	Sí	Turgencia.
Abstinence	Sí	Abstinencia.
Circumference	Sí	Circunferencia.
Incontinence	Sí	Incontinencia.
Precedence	Sí	Precedencia.
